Prediction Date,Detection Date,Strength,Number of AR detected
2015-07-17,2015-07-17,0.0,1.0
2015-07-18,2015-07-18,0.0,0.0
2015-07-19,2015-07-19,0.0,0.0
2015-07-20,2015-07-20,0.0,0.0
2015-07-21,2015-07-21,0.0,0.0
2015-07-22,2015-07-22,0.0,0.0
2015-07-23,2015-07-23,0.0,0.0
2015-07-24,2015-07-24,1515.6666666666667,0.0
2015-07-25,2015-07-25,0.0,1.0
2015-07-26,2015-07-26,1454.2941176470588,0.0
2015-07-27,2015-07-27,0.0,0.0
2015-07-28,2015-07-28,303.5,1.0
2015-07-29,2015-07-29,483.5384615384616,0.0
2015-07-30,2015-07-30,0.0,0.0
2015-07-31,2015-07-31,0.0,1.0
2015-08-01,2015-08-01,0.0,0.0
2015-08-02,2015-08-02,0.0,0.0
2015-08-03,2015-08-03,508.77777777777777,0.0
2015-08-04,2015-08-04,291.8,2.0
2015-08-05,2015-08-05,0.0,0.0
2015-08-06,2015-08-06,172.2,0.0
2015-08-07,2015-08-07,318.75,0.0
2015-08-08,2015-08-08,0.0,1.0
2015-08-09,2015-08-09,0.0,0.0
2015-08-10,2015-08-10,0.0,0.0
2015-08-11,2015-08-11,0.0,0.0
2015-08-12,2015-08-12,0.0,0.0
2015-08-13,2015-08-13,0.0,0.0
2015-08-14,2015-08-14,0.0,0.0
2015-08-15,2015-08-15,0.0,0.0
2015-08-16,2015-08-16,0.0,0.0
2015-08-17,2015-08-17,543.5384615384615,0.0
2015-08-18,2015-08-18,0.0,0.0
2015-08-19,2015-08-19,0.0,1.0
2015-08-20,2015-08-20,0.0,0.0
2015-08-21,2015-08-21,1123.0,0.0
2015-08-22,2015-08-22,0.0,0.0
2015-08-23,2015-08-23,299.4,0.0
2015-08-24,2015-08-24,0.0,0.0
2015-08-25,2015-08-25,0.0,0.0
2015-08-26,2015-08-26,486.5833333333333,0.0
2015-08-27,2015-08-27,0.0,0.0
2015-08-28,2015-08-28,0.0,0.0
2015-08-29,2015-08-29,806.5263157894736,0.0
2015-08-30,2015-08-30,463.5,0.0
2015-08-31,2015-08-31,0.0,0.0
2015-09-01,2015-09-01,0.0,0.0
2015-09-02,2015-09-02,0.0,0.0
2015-09-03,2015-09-03,0.0,0.0
2015-09-04,2015-09-04,0.0,0.0
2015-09-05,2015-09-05,0.0,1.0
2015-09-06,2015-09-06,0.0,0.0
2015-09-07,2015-09-07,0.0,1.0
2015-09-08,2015-09-08,0.0,0.0
2015-09-09,2015-09-09,270.0,0.0
2015-09-10,2015-09-10,0.0,0.0
2015-09-11,2015-09-11,0.0,0.0
2015-09-12,2015-09-12,0.0,1.0
2015-09-13,2015-09-13,0.0,0.0
2015-09-14,2015-09-14,1275.7142857142858,1.0
2015-09-15,2015-09-15,309.90909090909093,0.0
2015-09-16,2015-09-16,513.4,0.0
2015-09-17,2015-09-17,0.0,0.0
2015-09-18,2015-09-18,246.0,0.0
2015-09-19,2015-09-19,0.0,0.0
2015-09-20,2015-09-20,0.0,0.0
2015-09-21,2015-09-21,0.0,1.0
2015-09-22,2015-09-22,0.0,0.0
2015-09-23,2015-09-23,0.0,0.0
2015-09-24,2015-09-24,0.0,0.0
2015-09-25,2015-09-25,0.0,0.0
2015-09-26,2015-09-26,0.0,0.0
2015-09-27,2015-09-27,0.0,0.0
2015-09-28,2015-09-28,0.0,0.0
2015-09-29,2015-09-29,0.0,0.0
2015-09-30,2015-09-30,661.8571428571429,0.0
2015-10-01,2015-10-01,107.0,0.0
2015-10-02,2015-10-02,0.0,0.0
2015-10-03,2015-10-03,721.5,0.0
2015-10-04,2015-10-04,399.6666666666667,0.0
2015-10-05,2015-10-05,0.0,0.0
2015-10-06,2015-10-06,0.0,0.0
2015-10-07,2015-10-07,221.5,1.0
2015-10-08,2015-10-08,0.0,0.0
2015-10-09,2015-10-09,0.0,1.0
2015-10-10,2015-10-10,524.0526315789474,0.0
2015-10-11,2015-10-11,0.0,1.0
2015-10-12,2015-10-12,0.0,0.0
2015-10-13,2015-10-13,0.0,0.0
2015-10-14,2015-10-14,1538.0454545454545,1.0
2015-10-15,2015-10-15,0.0,0.0
2015-10-16,2015-10-16,400.5,0.0
2015-10-17,2015-10-17,0.0,1.0
2015-10-18,2015-10-18,1878.72,1.0
2015-10-19,2015-10-19,0.0,1.0
2015-10-20,2015-10-20,0.0,0.0
2015-10-21,2015-10-21,0.0,0.0
2015-10-22,2015-10-22,252.08333333333331,0.0
2015-10-23,2015-10-23,0.0,1.0
2015-10-24,2015-10-24,0.0,0.0
2015-10-25,2015-10-25,0.0,0.0
2015-10-26,2015-10-26,0.0,0.0
2015-10-27,2015-10-27,408.6666666666667,0.0
2015-10-28,2015-10-28,0.0,0.0
2015-10-29,2015-10-29,0.0,0.0
2015-10-30,2015-10-30,0.0,2.0
2015-10-31,2015-10-31,0.0,0.0
2015-11-01,2015-11-01,0.0,0.0
2015-11-02,2015-11-02,444.0,0.0
2015-11-03,2015-11-03,0.0,0.0
2015-11-04,2015-11-04,570.5,0.0
2015-11-05,2015-11-05,0.0,1.0
2015-11-06,2015-11-06,0.0,0.0
2015-11-07,2015-11-07,2028.4,1.0
2015-11-08,2015-11-08,420.3333333333333,1.0
2015-11-09,2015-11-09,410.9285714285714,0.0
2015-11-10,2015-11-10,1084.2631578947369,0.0
2015-11-11,2015-11-11,0.0,0.0
2015-11-12,2015-11-12,1277.6315789473683,0.0
2015-11-13,2015-11-13,0.0,0.0
2015-11-14,2015-11-14,0.0,1.0
2015-11-15,2015-11-15,0.0,0.0
2015-11-16,2015-11-16,0.0,0.0
2015-11-17,2015-11-17,0.0,0.0
2015-11-18,2015-11-18,0.0,0.0
2015-11-19,2015-11-19,935.8,0.0
2015-11-20,2015-11-20,0.0,1.0
2015-11-21,2015-11-21,0.0,0.0
2015-11-22,2015-11-22,0.0,0.0
2015-11-23,2015-11-23,0.0,1.0
2015-11-24,2015-11-24,0.0,0.0
2015-11-25,2015-11-25,608.4117647058823,1.0
2015-11-26,2015-11-26,0.0,0.0
2015-11-27,2015-11-27,0.0,0.0
2015-11-28,2015-11-28,0.0,0.0
2015-11-29,2015-11-29,0.0,0.0
2015-11-30,2015-11-30,0.0,0.0
2015-12-01,2015-12-01,721.3076923076923,0.0
2015-12-02,2015-12-02,0.0,0.0
2015-12-03,2015-12-03,381.3333333333333,0.0
2015-12-04,2015-12-04,799.3333333333334,2.0
2015-12-05,2015-12-05,0.0,0.0
2015-12-06,2015-12-06,0.0,1.0
2015-12-07,2015-12-07,0.0,0.0
2015-12-08,2015-12-08,0.0,1.0
2015-12-09,2015-12-09,640.0,0.0
2015-12-10,2015-12-10,0.0,0.0
2015-12-11,2015-12-11,0.0,1.0
2015-12-12,2015-12-12,331.22222222222223,0.0
2015-12-13,2015-12-13,0.0,2.0
2015-12-14,2015-12-14,0.0,0.0
2015-12-15,2015-12-15,0.0,0.0
2015-12-16,2015-12-16,1582.6,0.0
2015-12-17,2015-12-17,0.0,0.0
2015-12-18,2015-12-18,0.0,0.0
2015-12-19,2015-12-19,246.375,0.0
2015-12-20,2015-12-20,0.0,0.0
2015-12-21,2015-12-21,0.0,0.0
2015-12-22,2015-12-22,1486.1764705882354,2.0
2015-12-23,2015-12-23,0.0,0.0
2015-12-24,2015-12-24,0.0,0.0
2015-12-25,2015-12-25,0.0,0.0
2015-12-26,2015-12-26,0.0,0.0
2015-12-27,2015-12-27,367.6363636363636,0.0
2015-12-28,2015-12-28,0.0,0.0
2015-12-29,2015-12-29,0.0,0.0
2015-12-30,2015-12-30,465.1428571428572,0.0
2015-12-31,2015-12-31,0.0,0.0
