Prediction Date,Detection Date,Strength,dB,Number of AR detected
2015-04-07,2015-04-07,1126.75,316.9542923474929,0.0
2015-04-08,2015-04-08,0.0,0.0,0.0
2015-04-09,2015-04-09,0.0,0.0,0.0
2015-04-10,2015-04-10,0.0,0.0,0.0
2015-04-11,2015-04-11,0.0,0.0,0.0
2015-04-12,2015-04-12,268.5,176.36928587483706,1.0
2015-04-13,2015-04-13,348.3333333333333,231.618700070228,0.0
2015-04-14,2015-04-14,240.0,210.02975979608223,0.0
2015-04-15,2015-04-15,0.0,0.0,2.0
2015-04-16,2015-04-16,291.5,108.58402276578263,0.0
2015-04-17,2015-04-17,5381.705882352941,1149.609371748707,0.0
2015-04-18,2015-04-18,369.2,128.80597812213531,1.0
2015-04-19,2015-04-19,0.0,0.0,0.0
2015-04-20,2015-04-20,0.0,0.0,0.0
2015-04-21,2015-04-21,2554.2272727272725,599.1592025497063,0.0
2015-04-22,2015-04-22,0.0,0.0,0.0
2015-04-23,2015-04-23,0.0,0.0,1.0
2015-04-24,2015-04-24,0.0,0.0,0.0
2015-04-25,2015-04-25,0.0,0.0,0.0
2015-04-26,2015-04-26,1105.3846153846157,341.14178280640346,0.0
2015-04-27,2015-04-27,0.0,0.0,0.0
2015-04-28,2015-04-28,278.2,139.90868450528723,0.0
2015-04-29,2015-04-29,898.5,235.3974246479009,0.0
2015-04-30,2015-04-30,0.0,0.0,0.0
2015-05-01,2015-05-01,490.875,208.37754947450557,1.0
2015-05-02,2015-05-02,0.0,0.0,0.0
2015-05-03,2015-05-03,0.0,0.0,0.0
2015-05-04,2015-05-04,0.0,0.0,2.0
2015-05-05,2015-05-05,0.0,0.0,0.0
2015-05-06,2015-05-06,0.0,0.0,1.0
2015-05-07,2015-05-07,381.5,264.83697815826247,0.0
2015-05-08,2015-05-08,1088.7142857142858,470.9021519750084,2.0
2015-05-09,2015-05-09,0.0,0.0,0.0
2015-05-10,2015-05-10,0.0,0.0,1.0
2015-05-11,2015-05-11,315.6666666666667,222.67689597261767,1.0
2015-05-12,2015-05-12,4158.0,919.000602948988,2.0
2015-05-13,2015-05-13,1186.809523809524,298.36655460528664,0.0
2015-05-14,2015-05-14,0.0,0.0,0.0
2015-05-15,2015-05-15,268.6666666666667,177.00156935901884,1.0
2015-05-16,2015-05-16,756.25,307.27771437252005,0.0
2015-05-17,2015-05-17,0.0,0.0,0.0
2015-05-18,2015-05-18,1896.157894736842,522.6380425741187,0.0
2015-05-19,2015-05-19,0.0,0.0,0.0
2015-05-20,2015-05-20,0.0,0.0,0.0
2015-05-21,2015-05-21,451.0,163.9808747163134,0.0
2015-05-22,2015-05-22,0.0,0.0,0.0
2015-05-23,2015-05-23,0.0,0.0,0.0
2015-05-24,2015-05-24,0.0,0.0,0.0
2015-05-25,2015-05-25,0.0,0.0,0.0
2015-05-26,2015-05-26,0.0,0.0,0.0
2015-05-27,2015-05-27,0.0,0.0,0.0
2015-05-28,2015-05-28,979.0,275.1478323372532,0.0
2015-05-29,2015-05-29,0.0,0.0,1.0
2015-05-30,2015-05-30,306.3,103.01519305422866,0.0
2015-05-31,2015-05-31,0.0,0.0,0.0
2015-06-01,2015-06-01,0.0,0.0,1.0
2015-06-02,2015-06-02,0.0,0.0,0.0
2015-06-03,2015-06-03,0.0,0.0,0.0
2015-06-04,2015-06-04,2086.3793103448274,452.041461326968,0.0
2015-06-05,2015-06-05,0.0,0.0,2.0
2015-06-06,2015-06-06,732.3125,217.41628237956328,0.0
2015-06-07,2015-06-07,0.0,0.0,2.0
2015-06-08,2015-06-08,0.0,0.0,0.0
2015-06-09,2015-06-09,0.0,0.0,0.0
2015-06-10,2015-06-10,316.1818181818182,114.02754488164489,0.0
2015-06-11,2015-06-11,0.0,0.0,0.0
2015-06-12,2015-06-12,244.16666666666663,118.86208160908356,1.0
2015-06-13,2015-06-13,0.0,0.0,0.0
2015-06-14,2015-06-14,0.0,0.0,1.0
2015-06-15,2015-06-15,0.0,0.0,0.0
2015-06-16,2015-06-16,0.0,0.0,0.0
2015-06-17,2015-06-17,0.0,0.0,1.0
2015-06-18,2015-06-18,0.0,0.0,0.0
2015-06-19,2015-06-19,0.0,0.0,0.0
2015-06-20,2015-06-20,0.0,0.0,0.0
2015-06-21,2015-06-21,0.0,0.0,0.0
2015-06-22,2015-06-22,0.0,0.0,0.0
2015-06-23,2015-06-23,0.0,0.0,0.0
2015-06-24,2015-06-24,210.75,88.14370368891927,0.0
2015-06-25,2015-06-25,0.0,0.0,0.0
2015-06-26,2015-06-26,0.0,0.0,0.0
2015-06-27,2015-06-27,0.0,0.0,0.0
2015-06-28,2015-06-28,0.0,0.0,0.0
2015-06-29,2015-06-29,0.0,0.0,1.0
2015-06-30,2015-06-30,2897.655172413793,633.512468355932,1.0
2015-07-01,2015-07-01,0.0,0.0,1.0
2015-07-02,2015-07-02,1087.142857142857,347.1801273349708,0.0
2015-07-03,2015-07-03,0.0,0.0,1.0
2015-07-04,2015-07-04,0.0,0.0,0.0
2015-07-05,2015-07-05,0.0,0.0,1.0
2015-07-06,2015-07-06,733.8181818181819,246.7174915995156,0.0
2015-07-07,2015-07-07,0.0,0.0,0.0
2015-07-08,2015-07-08,1337.9166666666667,323.1173731100752,0.0
2015-07-09,2015-07-09,0.0,0.0,1.0
2015-07-10,2015-07-10,0.0,0.0,0.0
2015-07-11,2015-07-11,0.0,0.0,0.0
2015-07-12,2015-07-12,0.0,0.0,0.0
2015-07-13,2015-07-13,1563.0,368.23010345558265,1.0
2015-07-14,2015-07-14,0.0,0.0,0.0
2015-07-15,2015-07-15,0.0,0.0,0.0
2015-07-16,2015-07-16,0.0,0.0,0.0
2015-07-17,2015-07-17,0.0,0.0,1.0
2015-07-18,2015-07-18,0.0,0.0,0.0
2015-07-19,2015-07-19,0.0,0.0,0.0
2015-07-20,2015-07-20,0.0,0.0,0.0
2015-07-21,2015-07-21,0.0,0.0,0.0
2015-07-22,2015-07-22,0.0,0.0,0.0
2015-07-23,2015-07-23,0.0,0.0,0.0
2015-07-24,2015-07-24,1515.6666666666667,386.255568500353,0.0
2015-07-25,2015-07-25,0.0,0.0,1.0
2015-07-26,2015-07-26,0.0,0.0,0.0
2015-07-27,2015-07-27,1454.2941176470588,401.2308441675673,0.0
2015-07-28,2015-07-28,303.5,122.9977133933798,1.0
2015-07-29,2015-07-29,0.0,0.0,0.0
2015-07-30,2015-07-30,483.5384615384616,152.75970223595925,0.0
2015-07-31,2015-07-31,0.0,0.0,1.0
2015-08-01,2015-08-01,0.0,0.0,0.0
2015-08-02,2015-08-02,0.0,0.0,0.0
2015-08-03,2015-08-03,387.75,137.9881486456959,0.0
2015-08-04,2015-08-04,291.8,141.40367746278736,2.0
2015-08-05,2015-08-05,0.0,0.0,0.0
2015-08-06,2015-08-06,0.0,0.0,0.0
2015-08-07,2015-08-07,237.33333333333331,91.83681179135084,0.0
2015-08-08,2015-08-08,0.0,0.0,1.0
2015-08-09,2015-08-09,0.0,0.0,0.0
2015-08-10,2015-08-10,0.0,0.0,0.0
2015-08-11,2015-08-11,0.0,0.0,0.0
2015-08-12,2015-08-12,0.0,0.0,0.0
2015-08-13,2015-08-13,0.0,0.0,0.0
2015-08-14,2015-08-14,0.0,0.0,0.0
2015-08-15,2015-08-15,0.0,0.0,0.0
2015-08-16,2015-08-16,0.0,0.0,0.0
2015-08-17,2015-08-17,543.5384615384615,167.2828805651598,0.0
2015-08-18,2015-08-18,0.0,0.0,0.0
2015-08-19,2015-08-19,0.0,0.0,1.0
2015-08-20,2015-08-20,0.0,0.0,0.0
2015-08-21,2015-08-21,1123.0,352.7069370340661,0.0
2015-08-22,2015-08-22,0.0,0.0,0.0
2015-08-23,2015-08-23,299.4,115.04416543223738,0.0
2015-08-24,2015-08-24,0.0,0.0,0.0
2015-08-25,2015-08-25,0.0,0.0,0.0
2015-08-26,2015-08-26,486.5833333333333,174.7829805152029,0.0
2015-08-27,2015-08-27,0.0,0.0,0.0
2015-08-28,2015-08-28,202.54545454545453,74.86483688389959,0.0
2015-08-29,2015-08-29,806.5263157894736,217.5253925381861,0.0
2015-08-30,2015-08-30,0.0,0.0,0.0
2015-08-31,2015-08-31,463.5,211.1496967661674,0.0
2015-09-01,2015-09-01,0.0,0.0,0.0
2015-09-02,2015-09-02,0.0,0.0,0.0
2015-09-03,2015-09-03,0.0,0.0,0.0
2015-09-04,2015-09-04,0.0,0.0,0.0
2015-09-05,2015-09-05,0.0,0.0,1.0
2015-09-06,2015-09-06,0.0,0.0,0.0
2015-09-07,2015-09-07,0.0,0.0,1.0
2015-09-08,2015-09-08,0.0,0.0,0.0
2015-09-09,2015-09-09,270.0,140.52558485912806,0.0
2015-09-10,2015-09-10,0.0,0.0,0.0
2015-09-11,2015-09-11,0.0,0.0,0.0
2015-09-12,2015-09-12,0.0,0.0,1.0
2015-09-13,2015-09-13,0.0,0.0,0.0
2015-09-14,2015-09-14,1275.7142857142858,303.3844540910542,1.0
2015-09-15,2015-09-15,0.0,0.0,0.0
2015-09-16,2015-09-16,309.90909090909093,108.3288153327865,0.0
2015-09-17,2015-09-17,513.4,192.80108920854155,0.0
2015-09-18,2015-09-18,246.0,116.52800311600676,0.0
2015-09-19,2015-09-19,0.0,0.0,0.0
2015-09-20,2015-09-20,0.0,0.0,0.0
2015-09-21,2015-09-21,0.0,0.0,1.0
2015-09-22,2015-09-22,0.0,0.0,0.0
2015-09-23,2015-09-23,0.0,0.0,0.0
2015-09-24,2015-09-24,0.0,0.0,0.0
2015-09-25,2015-09-25,0.0,0.0,0.0
2015-09-26,2015-09-26,0.0,0.0,0.0
2015-09-27,2015-09-27,0.0,0.0,0.0
2015-09-28,2015-09-28,0.0,0.0,0.0
2015-09-29,2015-09-29,0.0,0.0,0.0
2015-09-30,2015-09-30,0.0,0.0,0.0
2015-10-01,2015-10-01,624.8666666666667,181.2211049764593,0.0
2015-10-02,2015-10-02,0.0,0.0,0.0
2015-10-03,2015-10-03,0.0,0.0,0.0
2015-10-04,2015-10-04,614.2222222222222,222.4855661846265,0.0
2015-10-05,2015-10-05,0.0,0.0,0.0
2015-10-06,2015-10-06,0.0,0.0,0.0
2015-10-07,2015-10-07,221.5,75.63949585589087,1.0
2015-10-08,2015-10-08,0.0,0.0,0.0
2015-10-09,2015-10-09,0.0,0.0,1.0
2015-10-10,2015-10-10,524.0526315789474,146.4028423350015,0.0
2015-10-11,2015-10-11,0.0,0.0,1.0
2015-10-12,2015-10-12,0.0,0.0,0.0
2015-10-13,2015-10-13,0.0,0.0,0.0
2015-10-14,2015-10-14,1538.0454545454545,372.8337957538162,1.0
2015-10-15,2015-10-15,0.0,0.0,0.0
2015-10-16,2015-10-16,0.0,0.0,0.0
2015-10-17,2015-10-17,400.5,134.4594051476246,1.0
2015-10-18,2015-10-18,1878.72,406.814843387013,1.0
2015-10-19,2015-10-19,0.0,0.0,1.0
2015-10-20,2015-10-20,0.0,0.0,0.0
2015-10-21,2015-10-21,0.0,0.0,0.0
2015-10-22,2015-10-22,252.08333333333331,92.4251574097779,0.0
2015-10-23,2015-10-23,457.5,174.4373992296377,1.0
2015-10-24,2015-10-24,0.0,0.0,0.0
2015-10-25,2015-10-25,0.0,0.0,0.0
2015-10-26,2015-10-26,0.0,0.0,0.0
2015-10-27,2015-10-27,408.6666666666667,149.7206452194829,0.0
2015-10-28,2015-10-28,0.0,0.0,0.0
2015-10-29,2015-10-29,0.0,0.0,0.0
2015-10-30,2015-10-30,0.0,0.0,2.0
2015-10-31,2015-10-31,0.0,0.0,0.0
2015-11-01,2015-11-01,0.0,0.0,0.0
2015-11-02,2015-11-02,444.0,248.80213021596097,0.0
2015-11-03,2015-11-03,0.0,0.0,0.0
2015-11-04,2015-11-04,491.7272727272728,156.54759263665022,0.0
2015-11-05,2015-11-05,0.0,0.0,1.0
2015-11-06,2015-11-06,0.0,0.0,0.0
2015-11-07,2015-11-07,0.0,0.0,1.0
2015-11-08,2015-11-08,420.3333333333333,289.2866705843492,1.0
2015-11-09,2015-11-09,410.9285714285714,123.30448044559932,0.0
2015-11-10,2015-11-10,1280.9583333333333,359.13255590148515,0.0
2015-11-11,2015-11-11,0.0,0.0,0.0
2015-11-12,2015-11-12,0.0,0.0,0.0
2015-11-13,2015-11-13,1277.6315789473683,330.280653761778,0.0
2015-11-14,2015-11-14,0.0,0.0,1.0
2015-11-15,2015-11-15,0.0,0.0,0.0
2015-11-16,2015-11-16,0.0,0.0,0.0
2015-11-17,2015-11-17,0.0,0.0,0.0
2015-11-18,2015-11-18,0.0,0.0,0.0
2015-11-19,2015-11-19,935.8,220.0472903718653,0.0
2015-11-20,2015-11-20,0.0,0.0,1.0
2015-11-21,2015-11-21,0.0,0.0,0.0
2015-11-22,2015-11-22,0.0,0.0,0.0
2015-11-23,2015-11-23,0.0,0.0,1.0
2015-11-24,2015-11-24,0.0,0.0,0.0
2015-11-25,2015-11-25,608.4117647058823,155.37329755043334,1.0
2015-11-26,2015-11-26,0.0,0.0,0.0
2015-11-27,2015-11-27,0.0,0.0,0.0
2015-11-28,2015-11-28,0.0,0.0,0.0
2015-11-29,2015-11-29,0.0,0.0,0.0
2015-11-30,2015-11-30,0.0,0.0,0.0
2015-12-01,2015-12-01,672.2857142857143,221.90591405791227,0.0
2015-12-02,2015-12-02,0.0,0.0,0.0
2015-12-03,2015-12-03,0.0,0.0,0.0
2015-12-04,2015-12-04,632.1333333333333,176.80827029424967,2.0
2015-12-05,2015-12-05,0.0,0.0,0.0
2015-12-06,2015-12-06,0.0,0.0,1.0
2015-12-07,2015-12-07,0.0,0.0,0.0
2015-12-08,2015-12-08,0.0,0.0,1.0
2015-12-09,2015-12-09,404.1333333333333,118.93632283238324,0.0
2015-12-10,2015-12-10,0.0,0.0,0.0
2015-12-11,2015-12-11,0.0,0.0,1.0
2015-12-12,2015-12-12,331.22222222222223,128.04893933257523,0.0
2015-12-13,2015-12-13,0.0,0.0,2.0
2015-12-14,2015-12-14,0.0,0.0,0.0
2015-12-15,2015-12-15,0.0,0.0,0.0
2015-12-16,2015-12-16,0.0,0.0,0.0
2015-12-17,2015-12-17,1582.6,418.4680812200615,0.0
2015-12-18,2015-12-18,0.0,0.0,0.0
2015-12-19,2015-12-19,246.375,102.2347941016169,0.0
2015-12-20,2015-12-20,0.0,0.0,0.0
2015-12-21,2015-12-21,0.0,0.0,0.0
2015-12-22,2015-12-22,1486.1764705882354,380.0164492888483,2.0
2015-12-23,2015-12-23,0.0,0.0,0.0
2015-12-24,2015-12-24,0.0,0.0,0.0
2015-12-25,2015-12-25,0.0,0.0,0.0
2015-12-26,2015-12-26,0.0,0.0,0.0
2015-12-27,2015-12-27,367.6363636363636,129.37344241885884,0.0
2015-12-28,2015-12-28,0.0,0.0,0.0
2015-12-29,2015-12-29,0.0,0.0,0.0
2015-12-30,2015-12-30,0.0,0.0,0.0
2015-12-31,2015-12-31,465.1428571428572,150.69139975188918,0.0
